Designator,Mid X,Mid Y,Rotation,Layer
C1,66.25,-43.25,0.0,top
C10,53.26762,-90.5,180.0,bottom
C11,53.25,-88.75,180.0,bottom
C12,62.25,-81.75,270.0,top
C13,64.75,-84.0,180.0,bottom
C14,64.75,-79.75,180.0,bottom
C15,64.0,-78.5,270.0,top
C16,39.55,-75.0,270.0,bottom
C17,60.0,-75.0,90.0,bottom
C18,40.0,-91.25,0.0,top
C19,31.0,-38.0,180.0,bottom
C2,66.25,-45.01,0.0,top
C20,48.25,-45.75,90.0,top
C3,34.775,-66.99,0.0,bottom
C4,34.775,-69.5,0.0,bottom
C5,53.75,-95.75,180.0,top
C6,48.75,-87.25,0.0,top
C7,50.75,-92.5,0.0,top
C8,51.98,-89.0,180.0,top
C9,53.25,-87.02,180.0,bottom
D1,46.0,-98.25,90.0,top
D10,44.75,-27.0,270.0,top
D11,54.0,-92.25,270.0,top
D2,47.75,-98.25,90.0,top
D3,49.5,-98.25,90.0,top
D4,51.25,-98.25,90.0,top
D5,44.0,-93.0,180.0,top
D6,39.55,-75.0,90.0,top
D7,60.0,-75.0,270.0,top
D8,55.25,-27.0,270.0,top
D9,27.5,-40.5,0.0,top
J1,61.0,-29.5,0.0,top
J2,45.0,-88.5,270.0,top
J3,50.01,-37.475,90.0,top
J4,39.0,-29.5,0.0,top
J5,31.0,-35.95,0.0,top
J6,34.0,-73.75,0.0,top
J7,61.0,-96.0,0.0,top
J8,34.0,-83.2,0.0,top
L1,48.75,-84.75,0.0,bottom
L2,64.75,-81.75,0.0,bottom
Q1,40.25,-90.5,180.0,bottom
Q2,43.5,-60.25,0.0,top
Q3,36.0,-69.75,180.0,top
Q4,36.1775,-79.0,180.0,top
Q5,40.9375,-83.95,0.0,bottom
Q6,35.25,-88.75,90.0,bottom
Q7,31.5,-88.75,90.0,bottom
R1,47.5,-93.0,0.0,top
R10,40.0,-89.5,0.0,top
R11,55.25,-30.25,270.0,top
R12,26.25,-37.25,90.0,top
R13,46.5,-66.5,0.0,top
R14,50.0,-33.25,0.0,top
R15,44.75,-30.25,270.0,top
R16,63.5,-88.0,90.0,top
R17,58.5,-88.0,90.0,top
R18,61.75,-88.0,90.0,top
R19,60.25,-88.0,90.0,top
R2,40.0,-93.0,0.0,top
R20,33.0,-69.75,270.0,top
R21,31.25,-69.75,90.0,top
R22,31.4275,-79.0,90.0,top
R23,33.1775,-79.0,270.0,top
R24,37.6875,-83.95,90.0,bottom
R25,35.25,-85.5,180.0,bottom
R26,31.5,-85.5,180.0,bottom
R27,44.1875,-83.95,90.0,bottom
R28,35.25,-92.0,180.0,bottom
R29,31.5,-92.0,180.0,bottom
R3,40.0,-94.75,0.0,top
R30,53.25,-82.51,180.0,bottom
R31,53.25,-80.75,180.0,bottom
R32,56.5,-82.5,180.0,bottom
R33,56.5,-80.75,180.0,bottom
R34,59.75,-80.75,180.0,bottom
R35,59.75,-82.5,180.0,bottom
R36,56.175,-84.0,180.0,top
R37,52.925,-84.0,0.0,top
R38,46.425,-84.0,180.0,top
R39,49.675,-84.0,0.0,top
R4,52.0,-87.25,0.0,top
R40,43.175,-84.0,0.0,top
R41,39.925,-84.0,180.0,top
R42,63.75,-74.25,180.0,top
R43,67.0,-74.25,0.0,top
R44,63.75,-70.75,0.0,bottom
R45,67.0,-70.75,180.0,bottom
R46,63.75,-70.75,0.0,top
R47,67.0,-70.75,180.0,top
R48,63.75,-72.5,180.0,top
R49,67.0,-72.5,0.0,top
R5,62.25,-78.5,270.0,top
R50,63.75,-74.25,180.0,bottom
R51,67.0,-74.25,0.0,bottom
R52,63.75,-72.5,0.0,bottom
R53,67.0,-72.5,180.0,bottom
R6,64.75,-84.0,0.0,top
R7,43.0,-88.5,270.0,bottom
R8,40.0,-71.5,270.0,top
R9,40.0,-87.75,180.0,top
SW1,41.25,-98.0,180.0,top
SW2,49.75,-75.0,0.0,top
SW3,27.0,-87.75,90.0,top
SW4,50.0,-27.0,0.0,top
SW5,73.0,-87.75,270.0,top
U1,61.75,-57.6,270.0,top
U2,48.5,-52.5,270.0,bottom
U3,48.62675,-90.0,90.0,bottom
U4,37.5,-49.75,180.0,top
U5,64.75,-81.75,0.0,top
U6,50.0,-75.0,0.0,bottom
U7,50.75,-45.75,90.0,top
