Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17, C18, C3",0603,5,100n,
"C10, C11, C2, C4, C9",0603,5,22uF,
C12,0603,1,4.7uF,
"C13, C14, C5, C6, C7, C8",0603,6,10uF,
C15,0603,1,120pF,
C19,0603,1,1uF,
D1,0603,1,25%,
"D10, D5, D8",0603,3,LED,
"D11, D9",D_SOD-123F,2,MBR1020VL,
D2,0603,1,50%,
D3,0603,1,75%,
D4,0603,1,100%,
"D6, D7",LED_WS2812B-2020_PLCC4_2.0x2.0mm,2,WS2812B-2020,
J1,SMA_Amphenol_901-143_Horizontal,1,Conn_Coaxial,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery,
J3,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J4,SMA_Amphenol_901-143_Horizontal,1,Antenna,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
J6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,BUZZ,
J7,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
L1,1206,1,1uH,
L2,1206,1,470nH,
"Q1, Q2, Q3",SOT-23,3,AO3400A,
"R1, R4",0603,2,2,
"R10, R13, R14, R20, R21, R3, R8",0603,7,10k,
"R11, R12, R15, R2, R7",0603,5,1k,
"R16, R17",0603,2,5.1k,
"R18, R19",0603,2,22,
R5,0603,1,453k,
"R6, R9",0603,2,100k,
SW1,Panasonic_EVQPUM_EVQPUD,1,SW_Push,
SW2,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch_MP,
SW3,Panasonic_EVQPUM_EVQPUD,1,BOOT,
SW4,Panasonic_EVQPUM_EVQPUD,1,EN,
SW5,Panasonic_EVQPUM_EVQPUD,1,USER,
SW6,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,1,SW_DIP_x01,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D1.5mm,5,TestPoint,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,XCVR_E22-900M30S,1,E22-900M30S,
U3,SOP127P600X165-9N,1,IP5306,
U4,ublox_NEO,1,NEO-M9N,
U5,Texas_VSON-HR-8_1.5x2mm_P0.5mm,1,TPS62822DLC,
