Designator,Mid X,Mid Y,Rotation,Layer
C1,66.25,-43.25,0.0,top
C10,53.26762,-90.5,180.0,bottom
C11,53.25,-88.75,180.0,bottom
C12,62.25,-81.75,270.0,top
C13,64.75,-84.0,180.0,bottom
C14,64.75,-79.75,180.0,bottom
C15,64.0,-78.5,270.0,top
C16,39.55,-75.0,270.0,bottom
C17,60.0,-75.0,90.0,bottom
C18,40.0,-91.25,0.0,top
C19,26.25,-33.75,90.0,top
C2,66.25,-45.01,0.0,top
C3,34.775,-66.99,0.0,bottom
C4,34.775,-69.5,0.0,bottom
C5,53.75,-95.75,180.0,top
C6,48.75,-87.25,0.0,top
C7,50.75,-92.5,0.0,top
C8,51.98,-89.0,180.0,top
C9,53.25,-87.02,180.0,bottom
D1,51.25,-98.25,90.0,top
D10,44.75,-27.0,270.0,top
D11,54.0,-92.25,270.0,top
D2,49.5,-98.25,270.0,top
D3,47.75,-98.25,90.0,top
D4,46.0,-98.25,270.0,top
D5,44.0,-93.0,180.0,top
D6,39.55,-75.0,90.0,top
D7,60.0,-75.0,270.0,top
D8,55.25,-27.0,90.0,top
D9,27.5,-40.5,0.0,top
J1,61.0,-29.5,0.0,top
J2,45.0,-88.5,270.0,top
J3,50.01,-37.475,90.0,top
J4,39.0,-29.5,0.0,top
J5,31.0,-35.95,0.0,top
J6,34.0,-73.75,0.0,top
J7,61.0,-96.0,0.0,top
L1,48.75,-84.75,0.0,bottom
L2,64.75,-81.75,0.0,bottom
Q1,40.25,-90.5,180.0,bottom
Q2,43.5,-60.25,0.0,top
Q3,36.0,-69.75,180.0,top
R1,47.5,-93.0,0.0,top
R10,40.0,-89.5,0.0,top
R11,55.25,-30.25,270.0,top
R12,26.25,-37.25,90.0,top
R13,46.5,-66.5,0.0,top
R14,50.0,-33.25,0.0,top
R15,44.75,-30.25,270.0,top
R16,63.5,-88.0,90.0,top
R17,58.5,-88.0,90.0,top
R18,61.75,-88.0,90.0,top
R19,60.25,-88.0,90.0,top
R2,40.0,-93.0,0.0,top
R20,33.0,-69.75,270.0,top
R21,31.25,-69.75,90.0,top
R3,40.0,-94.75,0.0,top
R4,52.0,-87.25,0.0,top
R5,62.25,-78.5,270.0,top
R6,64.75,-84.0,0.0,top
R7,43.0,-88.5,270.0,bottom
R8,40.0,-71.5,270.0,top
R9,40.0,-87.75,180.0,top
SW1,41.25,-98.0,180.0,top
SW2,49.75,-75.0,0.0,top
SW3,27.0,-87.75,90.0,top
SW4,50.0,-27.0,0.0,top
SW5,73.0,-87.75,270.0,top
SW6,41.0,-84.5,180.0,bottom
U1,61.75,-57.6,270.0,top
U2,48.5,-52.5,270.0,bottom
U3,48.62675,-90.0,90.0,bottom
U4,37.5,-49.75,180.0,top
U5,64.75,-81.75,0.0,top
